"job_id","job_title","sector","district","job_description"
"JOB001","Full Stack Developer","IT","Pune","Looking for a Full Stack Developer proficient in Python, React, PostgreSQL, Docker, and REST API development. Experience with Git and CI/CD pipelines is required."
"JOB002","Data Analyst","IT","Nagpur","Seeking Data Analyst skilled in Python, SQL, Power BI, Pandas, and Excel data modeling. Strong statistical analysis and Tableau experience preferred."
"JOB003","DevOps Engineer","IT","Pune","Hiring DevOps Engineer with expertise in Kubernetes, Docker, AWS Cloud, Terraform, Linux system administration, and Jenkins automation."
"JOB004","Machine Learning Engineer","IT","Pune","Looking for ML Engineer experienced in Python, PyTorch, LangChain, Natural Language Processing, Scikit-Learn, and Vector Databases."
"JOB005","Frontend Developer","IT","Nashik","Frontend Developer required with strong hands-on experience in React, JavaScript, HTML5, CSS3, Tailwind CSS, and Redux."
"JOB006","Database Administrator","IT","Nagpur","Seeking DBA with deep knowledge of PostgreSQL, MySQL, Database Optimization, Backup Recovery, and SQL Query Tuning."
"JOB007","Cybersecurity Analyst","IT","Pune","Hiring Cybersecurity Analyst with skills in Network Security, Threat Hunting, SIEM, Penetration Testing, and Vulnerability Assessment."
"JOB008","Cloud Support Specialist","IT","Nashik","Cloud Support Specialist needed with AWS Cloud, Linux, Bash Scripting, Networking, and Technical Troubleshooting skills."
"JOB009","Python Backend Developer","IT","Mumbai","Hiring backend engineer with strong Python programming skills, REST APIs, PostgreSQL, Docker containers, and Git version control."
"JOB010","AI Solutions Developer","IT","Mumbai","We need an AI developer proficient in machine learning, PyTorch framework, scikit-learn library, natural language processing and vector databases."
"JOB011","Cloud Infrastructure Engineer","IT","Aurangabad","Seeking cloud infra engineer comfortable with AWS cloud services, terraform IaC, Linux administration, Jenkins CI/CD, and Kubernetes orchestration."
"JOB012","React UI Developer","IT","Kolhapur","Frontend role: must know React.js, JavaScript ES6, HTML5, CSS3, and state management with Redux. Tailwind experience is a plus."
"JOB013","Data Engineer","IT","Nagpur","Looking for data pipeline engineer with proficient SQL query skills, pandas, Power BI reporting, Tableau dashboards, and statistical analysis."
"JOB014","Network Security Engineer","IT","Pune","Hiring for network security role: threat hunting, SIEM tools, penetration testing, vulnerability assessment, and cybersecurity best practices."
"JOB015","Site Reliability Engineer","IT","Mumbai","SRE role requires: Kubernetes, Docker, Terraform, Linux sys admin, Bash scripting, Jenkins automation, and monitoring expertise."
"JOB016","Business Intelligence Analyst","IT","Nashik","BI Analyst needed with strong Excel modeling, Power BI dashboards, SQL, Tableau, and data modeling experience."
"JOB017","Junior Python Developer","IT","Amravati","Entry-level role: good Python programming, basic SQL, familiarity with HTML5 and CSS3, and Git basics."
"JOB018","Security Operations Analyst","IT","Nagpur","SOC analyst role: hands-on with SIEM platforms, threat hunting procedures, network security monitoring, and cybersecurity incident response."
"JOB019","NLP Research Engineer","IT","Pune","Research position: strong NLP background, PyTorch, LangChain, vector databases, machine learning, Scikit-Learn."
"JOB020","PostgreSQL DBA","IT","Mumbai","DBA vacancy: PostgreSQL, MySQL, database optimization, backup and recovery planning, SQL query tuning."
"JOB021","Cloud DevOps Lead","IT","Kolhapur","Lead role: AWS cloud, Docker, Kubernetes, Terraform, Jenkins, Linux, DevOps practices, and bash scripting automation."
"JOB022","Full Stack Engineer MERN","IT","Nashik","Full stack MERN: MongoDB, Express, React, Node. Also requires REST API design, Git, and CI/CD pipeline experience."
"JOB023","Data Science Intern","IT","Aurangabad","Internship: Python skills, pandas library, scikit-learn, basic statistical analysis, and Excel."
"JOB024","Cybersecurity Consultant","IT","Mumbai","Consultant: penetration testing, vulnerability assessment, network security architecture, SIEM, threat hunting."
"JOB025","EV Battery Systems Engineer","Automotive","Pune","Urgent requirement for EV Battery Systems Engineer experienced in Electric Vehicle Battery Management, Battery Chemistry, MATLAB Simulink, and CAN Bus Diagnostics."
"JOB026","Automotive Quality Inspector","Automotive","Nashik","Hiring Quality Inspector skilled in Six Sigma, Total Quality Management, CMM Inspection, Quality Assurance, and GD&T."
"JOB027","CNC Machine Operator","Automotive","Pune","Seeking CNC Machine Operator with experience in CNC Programming, Lathe Operation, G-Code, Milling, and Blueprint Reading."
"JOB028","AutoCAD Design Engineer","Automotive","Nagpur","Mechanical Design Engineer needed with expertise in AutoCAD, SolidWorks, CATIA 3D Modeling, Sheet Metal Design, and Prototyping."
"JOB029","Automobile Service Technician","Automotive","Nashik","Technician required for Engine Overhaul, Brake System Repair, Wheel Alignment, Automotive Diagnostics, and Vehicle Maintenance."
