"course_id","course_name","sector","skills_taught"
"CRS001","Certificate in Python and Web Basics","IT","Python, HTML5, CSS3, JavaScript, MySQL"
"CRS002","Diploma in Data Analysis","IT","Excel, SQL, Power BI, Tableau, Pandas"
"CRS003","Advanced Frontend Web Development","IT","React, JavaScript, HTML5, CSS3, Redux"
"CRS004","Database Administration Fundamentals","IT","PostgreSQL, MySQL, Database Optimization, Backup Recovery"
"CRS005","Network and Linux Fundamentals","IT","Linux, Bash Scripting, Networking, Technical Troubleshooting"
"CRS006","DevOps Engineering Programme","IT","Docker, Kubernetes, CI/CD, Jenkins, Terraform, AWS Cloud"
"CRS007","Cybersecurity Foundations and Practice","IT","Network Security, Cybersecurity, Penetration Testing, Vulnerability Assessment, SIEM"
"CRS008","Machine Learning and AI Applications","IT","Machine Learning, PyTorch, Scikit-Learn, Natural Language Processing, Pandas"
"CRS009","Cloud Computing Practitioner Course","IT","Cloud Computing, AWS Cloud, Linux System Administration, DevOps"
"CRS010","Automotive CNC and Machining Technician","Automotive","CNC Programming, Lathe Operation, G-Code, Milling, Blueprint Reading"
"CRS011","CAD for Mechanical Engineering","Automotive","AutoCAD, SolidWorks, Sheet Metal Design, Blueprint Reading"
"CRS012","Automobile Mechanics and Maintenance","Automotive","Engine Overhaul, Brake System Repair, Wheel Alignment, Vehicle Maintenance"
"CRS013","Quality Control for Manufacturing","Automotive","Total Quality Management, Quality Assurance, GD&T, CMM Inspection"
"CRS014","Basic Automotive Electrical Systems","Automotive","Automotive Diagnostics, Electrical Troubleshooting, Preventive Maintenance"
"CRS015","Electric Vehicle Technology Certificate","Automotive","Electric Vehicle Battery Management, Battery Chemistry, CAN Bus Diagnostics"
"CRS016","ADAS and Advanced Automotive Sensors","Automotive","ADAS Sensor Calibration, Radar Diagnostics, LiDAR, Automotive Telematics"
"CRS017","Diploma in Textile Weaving Technology","Textile","Loom Operation, Weaving, Spinning, Yarn Quality Control, Production Planning"
"CRS018","Apparel Quality Control and Inspection","Textile","Fabric Inspection, Stitching Quality Control, Apparel Testing, Defect Analysis"
"CRS019","Textile Dyeing and Color Formulation","Textile","Chemical Processing, Yarn Dyeing, Shade Matching"
"CRS020","Garment Pattern Making and Sewing","Textile","Pattern Grading, Garment Fitting, Sewing Techniques, Sample Making"
"CRS021","Textile Machine Mechanical Maintenance","Textile","Mechanical Repair, Preventive Maintenance, Loom Operation"
"CRS022","Digital and Sublimation Textile Printing","Textile","Digital Textile Printing, Sublimation Printing, RIP Software, Color Fastness Testing"
"CRS023","Sustainable Textile Processing","Textile","Sustainable Dyeing, Chemical Processing, Effluent Treatment, Yarn Dyeing"
"CRS024","General Duty Nursing Assistant Certificate","Healthcare","Patient Care, Vital Signs Monitoring, Wound Dressing, IV Cannulation, Basic Life Support"
"CRS025","Medical Laboratory Technology Diploma","Healthcare","Clinical Biochemistry, Hematology Testing, Blood Sample Collection, Microscopy, Lab Quality Control"
"CRS026","Community Health and Vaccination Programme","Healthcare","Vaccination Administration, Maternal Child Health, Disease Surveillance, Community Health Education"
"CRS027","Pharmacy Operations and Dispensing","Healthcare","Drug Dispensing, Pharmaceutical Inventory Management, Prescription Verification, Dosage Calculation"
"CRS028","Diagnostic Radiology and Imaging Technology","Healthcare","X-Ray Machine Operation, CT Scan Assistance, MRI Patient Positioning, Radiation Safety, PACS System"
"CRS029","Emergency Medical Care and First Response","Healthcare","Basic Life Support, Advanced Cardiac Life Support, Patient Triage, Emergency Trauma Care"
"CRS030","Clinical Pathology and Lab Quality Control","Healthcare","Pathology Lab Quality Control, Clinical Biochemistry, Hematology, Microscopy, Blood Sample Collection"
"CRS031","Civil Engineering Drawing and AutoCAD","Construction","AutoCAD, Structural Drawings, Quantity Takeoff, BOQ Preparation, Site Supervision"
"CRS032","Construction Project Planning and Management","Construction","Construction Cost Estimation, MS Project Scheduling, Contract Management, Project Scheduling, Building Safety Compliance"
